Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Button/Name/KerriganLabEMP;EMP;ЭМИ;EMP;PEM;PEM;IEM;Scarica elettromagnetica;EMP;EMP;PEM;EMP;電磁脈衝波
Button/Name/KerriganLabPsiGrip;Psi Grip;Пси-хватка;Psi-Griff;Parálisis psi;Apretón psiónico;Étau psi;Stretta psionica;사이오닉 손아귀;Psioniczny chwyt;Garra psi;灵能之握;幽能之握
Button/Name/KerriganLabSnipe;Snipe;Снайперский выстрел;Scharfschütze;Disparo de precisión;Francotirar;Tir de précision;Tiro di precisione;저격;Strzał Snajperski;Tiro de precisão;狙杀;狙擊
Button/Name/KerriganMaelstrom;Maelstrom;Шторм;Mahlstrom;Vorágine;Maelstrom;Maelström;Maelstrom;혼돈의 폭풍;Malstrom;Turbilhão;灵能漩涡;混沌風暴
Button/Name/KerriganMorphMenu;Change Battle Focus;Изменить боевую роль;Kampfschwerpunkt wechseln;Cambiar enfoque de batalla;Cambiar foco de batalla;Changer de mode de combat;Cambia focalizzazione;전투 특성 변경;Zmień specjalizację bojową;Alterar foco de batalha;更改战斗专精;變更戰鬥專精
Button/Name/KerriganMorphtoKerriganFlying;Kerrigan Morph to Kerrigan Flying;Превращение Керриган в летающую Керриган;Kerrigan zu fliegender Kerrigan morphen;Kerrigan: mutar en Kerrigan voladora;Kerrigan - Transformar en Kerrigan voladora;Transformer Kerrigan pour qu’elle vole;Trasforma in Kerrigan volante;케리건이 비행 케리건으로 변형;Kerrigan - Przekształć w Kerrigan latającą;Kerrigan Transmutar para Kerrigan Voando;凯瑞甘变异为凯瑞甘飞行;凱莉根 - 變形為飛行單位凱莉根
Button/Name/KerriganMorphtoKerriganGhost;Kerrigan Morph to Kerrigan Ghost;Превращение Керриган в призрака;Kerrigan zu Ghost-Kerrigan morphen;Kerrigan: mutar en Kerrigan fantasma;Kerrigan - Transformar en Kerrigan fantasma;Transformer Kerrigan en fantôme;Trasforma in Kerrigan Fantasma;케리건이 케리건 유령으로 변형;Kerrigan - przekształć w Kerrigan-ducha;Kerrigan Transmutar para Kerrigan Fantasma;凯瑞甘变异为凯瑞甘幽灵;凱莉根 - 變形為幽靈特務凱莉根
Button/Name/KerriganMorphtoKerriganQueenofBlades;Kerrigan Morph to Kerrigan, Queen of Blades;Превращение Керриган в Королеву Клинков;Kerrigan zu Kerrigan, Königin der Klingen, morphen;Kerrigan: mutar en Kerrigan, Reina de Espadas;Kerrigan - Transformar en Kerrigan Reina de las Cuchillas;Transformer Kerrigan en Kerrigan, Reine des Lames;Trasforma in Kerrigan Regina delle Lame;케리건이 칼날 여왕 케리건으로 변태;Kerrigan - przekształć w Kerrigan Królową Ostrzy;Kerrigan Transmutar em Kerrigan, a Rainha das Lâminas;凯瑞甘变异为刀锋女王;凱莉根 - 變形為刀鋒女皇凱莉根
Button/Name/KerriganNova;KerriganNova;Керриган - взрыв;Kerrigan - Nova;KerriganNova;KerriganNova;KerriganNova;KerriganNova;케리건 회오리;KerriganRozbłysk;KerriganNova;KerriganNova;凱莉根新星
Button/Name/KerriganNydusWyrm;Broodling Nest;Гнездо симбионтов;Brütlingnest;Nido de crías;Nido de ácaros;Nid de vermines;Nido di Progenidi;공생충 둥지;Gniazdo pomiotów;Ninho de Parasitoide;巢虫窝;寄生蟲巢
Button/Name/KerriganRegeneration;Rapid Recovery;Быстрое восстановление;Schnelle Erholung;Recuperación acelerada;Recuperación rápida;Récupération rapide;Recupero rapido;급속 회복;Błyskawiczna regeneracja;Recuperação Rápida;急速恢复;快速回復
Button/Name/KerriganRenewal;Renewal;Обновление;Erneuerung;Renovación;Renovación;Renouveau;Rinnovamento;회복;Odnowa;Renovação;回春术;修復組織
Button/Name/KerriganRevive;Revive Standard;Обычное воскрешение;Standardwiederbelebung;Revivir estándar;Revivir estándar;Étendard de réanimation;Rianimazione standard;부활 표준;Ożyw - Standardowo;Padrão de Reviver;复活标准;復活旗幟
Button/Name/KerriganReviveCocoon;Kerrigan Revive Cocoon;Кокон воскрешения Керриган;Kerrigans Wiederbelebungskokon;Kerrigan: revivir capullo;Kerrigan - Revivir - Capullo;Cocon de réanimation de Kerrigan;Bozzolo di rianimazione di Kerrigan;케리건 부활 고치;Kerrigan – ożywienie, kokon;Reviver Casulo de Kerrigan;凯瑞甘复活虫茧;凱莉根 - 復活蟲蛹
Button/Name/KerriganRevivePlacement;Revive Placement;Воскрешение с размещением;Wiederbelebungsplatzierung;Ubicación de revivir;Revivir ubicación;Position de la réanimation;Disposizione rianimazione;부활 지점;Ożyw - Miejsce;Posicionamento de Reviver;复活放置;復活配置
Button/Name/KerriganRulerRoot;Protector;Защитник;Beschützer;Protector;Protector;Protecteur;Protettore;보호;Obrońca;Protetor;守护者;護衛者
Button/Name/KerriganRulerUproot;Stop Protecting;Прервать защиту;Schutz beenden;Detener protección;Detener protección;Arrêter la protection;Interrompi protezione;보호 중지;Przestań bronić;Parar a proteção;停止守护;停止護衛
Button/Name/KerriganSearch;Search;Поиск;Suchen;Buscar;Buscar;Rechercher;Ricerca;검색;Szukaj;Busca;搜索;搜尋
Button/Name/KerriganStoryMorph;Kerrigan Story Morph;Превращение Керриган в кампании;Kerrigan für Storymodus morphen;Kerrigan: mutación de la historia;Transformación de historia de Kerrigan;Kerrigan - Transformation mode scénario;Trasforma in Kerrigan storia;케리건 이야기 변태;Kerrigan - opowieść - przekształcenie;Kerrigan Transmutar Estória;凯瑞甘剧情变异;凱莉根劇情模式變形
Button/Name/KerriganSummonUltralisk;Spawn Ultralisk;Породить ультралиска;Ultralisk erschaffen;Engendrar ultralisco;Engendrar Ultralisco;Générer un ultralisk;Genera Ultralisca;울트라리스크 생성;Powij ultraliska;Gerar Mammuthus;孵化雷兽;孵化雷獸
Button/Name/KerriganTossGrenade;Grenade;Граната;Granate;Granada;Granada;Grenade;Granata;수류탄;Granat;Granada;手榴弹;手榴彈
Button/Name/KerriganViciousGlaive;Vicious Glave;Губительный чакрум;Bösartige Gleve;Guja feroz;Gladia viciosa;Sabre vicieux;Simbionte maligno;악성 쐐기;Wściekła glewia;Espada Cruel;残暴龙爪;惡毒之刃
Button/Name/KerriganVoidCoopEconDrop;Assimilation Aura;Аура ассимиляции;Assimilationsaura;Aura de asimilación;Aura de asimilación;Aura d’assimilation;Aura di assimilazione;동화 오라;Aura Asymilacji;Aura de Assimilação;吸收光环;同化靈氣
Button/Name/KerriganVoidKineticBlast;Kinetic Blast;Кинетический удар;Kinetische Welle;Explosión cinética;Explosión cinética;Rafale cinétique;Scarica cinetica;에너지 폭발;Wybuch Kinetyczny;Explosão Cinética;动能冲击;動能衝擊
Button/Name/KerriganVoidSpawnBanelings;Spawn Banelings;Породить гиблингов;Berstlinge erschaffen;Engendrar pesteling;Engendrar Uetzis;Générer des chancres;Richiamo dei Baneling;맹독충 생성;Przyzwanie Tępicieli;Gerar Tatus-bomba;孵化爆虫;產生毒爆蟲
Button/Name/KerriganVortex;Vortex;Воронка;Vortex;Vórtice;Vórtice;Vortex;Vortice;소용돌이;Wir;Vórtice;漩涡;漩渦
Button/Name/KerrigansWrath;Kerrigan's Wrath;Гнев Керриган;Kerrigans Zorn;Ira de Kerrigan;Ira de Kerrigan;Courroux de Kerrigan;Furia di Kerrigan;케리건의 분노;Gniew Kerrigan;Ira de Kerrigan;凯瑞甘之怒;凱莉根之怒
Button/Name/KhaydarinBeam;Khaydarin Beam;Кайдариновый луч;Khaydarin-Strahl;Haz khaydarin;Rayo khaydarín;Rayon Khaydarin;Raggio Khaydarin;케이다린 광선;Promień khaydarinowy;Feixe Khaydarin;凯达琳光束;凱達林光束
Button/Name/KillerPhantasm;Killer Phantasm;Смертельное видение;Killer-Trugbild;Espíritu asesino;Aparición Asesina;Tueur fantasme;Illusione assassina;도살자 환영;Zabójczy fantom;Fantasma assassino;鬼影杀手;魅影殺手
Button/Name/KorhalSporeCannon;Bile Launcher;Споровое орудие;Gallschleuder;Cañón de bilis;Lanzador de bilis;Lanceur de bile;Lanciabile;부패 주둥이;Miotacz żółci;Lançador de Bile;胆汁喷射体;酸液砲
Button/Name/KorhalSporeCannonRegen;Rapid Regeneration;Быстрая регенерация;Rasche Regeneration;Regeneración rápida;Regeneración rápida;Régénération rapide;Rigenerazione rapida;빠른 재생력;Błyskawiczna regeneracja;Regeneração Rápida;极速再生;快速再生
Button/Name/KorhalSporeCannonRoot;Root;Окопаться;Verwurzeln;Arraigar;Arraigar;Enraciner;Radica;뿌리 박기;Zakorzeń;Enraizar;扎根;扎根
Button/Name/KraithCrashingCharge;Crashing Charge;Сокрушительный рывок;Kollisionsansturm;Carga aplastante;Carga destructora;Charge fracassante;Carica dirompente;돌격 충돌;Niszcząca szarża;Carga Demolidora;粉碎冲锋;碎擊猛衝
Button/Name/KraithSpineVolley;Spine Volley;Плеточный залп;Stachelsalve;Salva de espinas;Lluvia de espinas;Volée d’aiguillons;Salva di aculei;가시 공세;Salwa kolców;Salva de Espinhos;脊针箭雨;脊刺連射
Button/Name/LabTurret;Umojan Lab Turret;Турель умоджанской лаборатории;Umojanischer Laborturm;Torreta de laboratorio de Umoja;Torreta de laboratorio umojano;Tourelle du laboratoire umojan;Torretta laboratorio umojana;우모자 연구실 포탑;Umojańskie laboratorium – Wieżyczka;Torre de artilharia do Laboratório Umojan;尤摩扬实验室炮塔;尤摩捷實驗室砲台
Button/Name/LaserBotLaserOff;Laser Bot Laser Off;Бластерный бот - лазер выкл.;Laserbotlaser aus;Láser de robot de láser desactivado;Robot láser - Láser desactivado;Robot laser - Laser - Arrêt;Robot laser - Laser Disattivato;레이저 로봇 레이저 끄기;Robot laserowy, Laser wył.;Robô-laser - Desligado;警戒机器人激光 关闭;雷射機器人雷射 - 關閉
Button/Name/LaserBotLaserOn;Laser Bot Laser On;Бластерный бот - лазер вкл.;Laserbotlaser ein;Láser de robot de láser activado;Robot láser - Láser activado;Robot laser - Laser - Marche;Robot laser - Laser Attivato;레이저 로봇 레이저 켜기;Robot laserowy, Laser wł.;Robô-laser - Ligado;警戒机器人激光 开启;雷射機器人雷射 - 開啟
Button/Name/LaserTargetingSystemBanshee;Laser Targeting System;Лазерное наведение;Lasergestützte Zielerfassung;Sistema de puntería láser;Sistema de focalización láser;Système de ciblage laser;Sistema di puntamento laser;레이저 조준 시스템;Laserowy system celowniczy;Sistema de Mira Laser;激光瞄准系统;雷射瞄準系統
Button/Name/LashingTongue;Lashing Tongue;Оплетающий язык;Peitschenzunge;Lengua azotadora;Lengua flagelante;Fouet-langue;Lingua sferzante;혀 채찍;Smagnięcie jęzorem;Língua-açoite;冲击长舌;舌鞭
Button/Name/LavaBall;Lava Ball;Шар лавы;Lavakugel;Bola de lava;Bola de lava;Boule de lave;Sfera Lavica;용암구;Kula lawy;Bola de Lava;熔岩机器人;熔岩球
Button/Name/LeadFarmer;Hail of Lead;Свинцовый град;Kugelhagel;Lluvia de plomo;Granizo de plomo;Appel du meneur;Grandine di piombo;총알 세례;Grad Ołowiu;Chuva de Chumbo;硝云弹雨;重鉛冰雹
Button/Name/LeapAttack;Leap Attack;Удар в прыжке;Anspringen;Salto ofensivo;Ataque sorpresa;Bond offensif;Balzo;도약 공격;Atak z wyskoku;Ataque com Salto;飞扑;躍擊
Button/Name/LearnDehakaCloakAura;Evolve Cloak Aura;Развить ауру маскировки;Tarnaura entwickeln;Evolucionar aura de invisibilidad;Evolucionar Aura de camuflaje;Évolution Aura de camouflage;Evolvi Aura occultante;은폐 오라 진화;Wyewoluuj Aurę Maskowania;Evoluir Aura de Camuflagem;进化隐形光环;進化匿蹤靈氣
Button/Name/LearnDehakaConsume;Evolve Devour;Развить «Пожирание»;Verschlingen entwickeln;Evolucionar devorar;Evolucionar Devorar;Évolution Assimiler;Evolvi Consunzione;섭취 진화;Wyewoluuj Pożarcie;Evoluir Devorar;进化吞食;進化吞噬
Button/Name/LearnDehakaIntimidatingRoar;Evolve Intimidating Roar;Развить «Устрашающий рев»;Einschüchterndes Gebrüll entwickeln;Evolucionar rugido intimidatorio;Evolucionar Rugido intimidante;Évolution Grognement d’intimidation;Evolvi Ruggito imponente;위협의 포효 진화;Wyewoluuj Zastraszający Ryk;Evoluir Rugido Intimidador;进化破胆咆哮;進化破膽咆哮
Button/Name/LearnDehakaLeapStomp;Evolve Leap;Развить «Прыжок»;Anspringen entwickeln;Evolucionar salto;Evolucionar Salto;Évolution Bond;Evolvi Balzo;도약 진화;Wyewoluuj Skok;Evoluir Salto;进化跳跃;進化躍擊
Button/Name/LearnDehakaMammothBreath;Evolve Scorching Breath;Развить «Чудовищное дыхание»;Feueratem entwickeln;Evolucionar aliento abrasador;Evolucionar Aliento abrasador;Évolution Souffle infernal;Evolvi Soffio ardente;그을리는 숨결 진화;Opracuj Palący Oddech;Evoluir Sopro Calcinante;进化灼热吐息;進化灼燒之息
Button/Name/LearnDehakaStomp;Evolve Stomp;Развить «Топот»;Stampfen entwickeln;Evolucionar pisotón;Evolucionar Pisoteo;Évolution Piétinement;Evolvi Assalto;발구르기 진화;Wyewoluuj Stąpnięcie;Evoluir Pisada;进化践踏;進化重踏
Button/Name/LearnDehakaSwipe;Evolve Swipe;Развить «Размах»;Krallenhieb entwickeln;Evolucionar barrido;Evolucionar Trompón;Évolution Balayage;Evolvi Spazzata;휘둘러치기 진화;Wyewoluuj Machnięcie;Evoluir Patada;进化横扫;進化揮擊
Button/Name/LearnDrag;Evolve Drag;Развить «Притягивание»;Packen entwickeln;Evolucionar arrastrar;Evolucionar Arrastrar;Évolution Attraction;Evolvi Trascinamento;끌기 진화;Wyewoluuj Przeciągnięcie;Evoluir Arrastar;进化拖曳;進化拖曳
Button/Name/LearnSJHyperionBlink4;Learn SJHyperion Blink4;Улучшение «Гипериона»: «Скачок» 4;SJHyperion - Transit 4 erlernen;Aprender salto de SJHyperion 4;Aprender - SJ Hiperión - Parpadeo 4;Apprendre SJ Hypérion Transfert 4;Apprendi Traslazione 4 Hyperion SJ;SJ 히페리온 점멸 습득;Opracuj SJHyperion Mignięcie4;Aprendar SJHipérion Translação4;学习SJ休伯利安号闪现4;學習SJ海伯利昂號瞬移4
Button/Name/LearnSJHyperionShipUpgrade1;Learn SJHyperion Ship Upgrade1;Улучшение «Гипериона»: уровень 1;SJHyperion - Raumschiffupgrade 1 erlernen;Aprender mejora de nave de SJHyperion 1;Aprender - SJ Hiperión - Mejora de nave 1;Apprendre SJ Hypérion Amélioration de vaisseau 1;Apprendi Potenziamento navale 1 Hyperion SJ;SJ 히페리온 함선 업그레이드1 습득;Opracuj SJHyperion Okręt Ulepszenie1;Aprender SJHipérion Nave Aprimorar1;学习SJ休伯利安号升级1;SJ海伯利昂號 - 船艦升級1
Button/Name/LeviathanSpawnMutalisk;Spawn Mutalisk;Породить муталиска;Mutalisk erschaffen;Engendrar mutalisco;Engendrar Mutalisco;Générer un mutalisk;Genera Mutalisca;뮤탈리스크 생성;Powij mutaliska;Gerar Mutalisca;孵化异龙;孵化飛螳
Button/Name/LiberatorAGRangeUpgrade;Advanced Ballistics;Дальнобойные баллистические орудия;Verbesserte Ballistik;Balística avanzada;Balística avanzada;Balistique avancée;Balistica avanzata;첨단 탄도 시스템;Zaawansowana balistyka;Balística Avançada;强化弹道;強化彈道
Button/Name/LiberatorImprovedAARange;Liberator Improved AA Range;Увеличение дальности противовоздушных атак «Освободителей»;Verbesserte Luftkampfreichweite für Falke;Alcance AA mejorado del liberador;Alcance AA mejorado del Libertador;Portée AA améliorée du croiseur;Liberatore - Portata aria-aria migliorata;해방선 향상된 대공 사거리;Ulepszony zasięg P-P liberatora;Libertador - Aprimorado - AA - Alcance;解放者强化对空射程;解放者強化對空範圍
Button/Name/LiberatorStructureAttack;Raid Artillery;Ударная артиллерия;Sturmartillerie;Artillería de incursión;Artillería de incursión;Artillerie de raid;Artiglieria d'assalto;습격포;Artyleria szturmowa;Artilharia de Raide;掠袭火炮;突擊砲轟
Button/Name/Liberator_BlackOpsMorphtoAA;Fighter Mode;Режим истребителя;Kampffliegermodus;Modo caza;Modo Caza;Mode Chasseur;Assetto aereo;전투기 모드;Tryb myśliwski;Modo Combate;战机模式;戰機模式
Button/Name/Liberator_BlackOpsMorphtoAG;Defender Mode;Защитный режим;Verteidigungsmodus;Modo defensor;Modo Defensivo;Mode Défenseur;Assetto difensore;수호기 모드;Tryb obrońcy;Modo de Defesa;防卫模式;防禦者模式
Button/Name/LibraryDown;Lower Library;Опустить библиотеку;Bibliothek absenken;Bajar biblioteca;Bajar biblioteca;Bibliothèque baissée;Abbassa biblioteca;기록소 내리기;Obniż bibliotekę;Abaixar Biblioteca;降下藏书馆;降下文卷館
Button/Name/LibraryUp;Raise Library;Поднять библиотеку;Bibliothek anheben;Subir biblioteca;Elevar biblioteca;Lever la bibliothèque;Alza biblioteca;기록소 올리기;Unieś bibliotekę;Elevar Biblioteca;升起藏书馆;升起文卷館
Button/Name/LightBridgeOff;Light Bridge Off;Отключить легкий мост;Lichtbrücke Aus;Puente ligero desactivado;Puente iluminado apagado;Passerelle de lumière désactivée;Attiva ponte di luce;빛나는 다리 꺼짐;Lekki most wyłączony;Luz da Ponte Desligada;光影桥关闭;光橋 - 關閉
Button/Name/LightBridgeOn;Light Bridge On;Включить легкий мост;Lichtbrücke An;Puente ligero activado;Puente iluminado encendido;Passerelle de lumière activée;Disattiva ponte di luce;빛나는 다리 켜짐;Lekki most włączony;Ponte de luz ligada;光影桥开启;光橋 - 開啟
Button/Name/LightningShooter;Lightning Shooter;Метатель молний;Blitzschleuder;Tirador de relámpagos;Descarga relámpago;Tireur de foudre;Cannoniere Lampo;번개 발사자;Miotacz błyskawic;Disparador de Raios;闪电射击者;閃電發射器
Button/Name/LightningShooterDummy;Lightning Shooter Dummy;Метатель молний - манекен;Blitzschleuder - Dummy;Lightning Shooter Dummy;Descarga relámpago - Simulación;Tireur de foudre - Leurre;Cannoniere Lampo - Simulazione;번개 발사자 임시;Miotacz błyskawic, Próbny;Disparador de Raios - Dummy;闪电射击者 虚拟;閃電發射器 - 模型
Button/Name/LightningStrike;Lightning Strike;Удар молнии;Blitzschlag;Golpe de relámpagos;Golpe relámpago;Frappe de foudre;Colpo Fulminante;번개 강타;Uderzenie błyskawicy;Golpe com Raio;闪电打击;閃電突擊
Button/Name/Load;Load;Загрузить;Einladen;Cargar;Cargar;Charger;Carica;들이기;Załaduj;Carregar;加载;裝載
Button/Name/LoadSubway;Enter Subway;Войти в метро;U-Bahn betreten;Entrar al tren subterráneo;Entrar al subterráneo;Entrer dans le tunnel;Ingresso;지하철 들어가기;Wejdź do metra;Entrar no Metrô;进入地铁;搭乘地鐵
Button/Name/LoadTaurenOuthouse;Load;Загрузить;Einladen;Cargar;Cargar;Charger;Carica;불러오기;Wczytaj;Carregar;装载;裝載
Button/Name/LockOnRangeUpgrade;Targeting Optics;Система оптического наведения;Zielfindungsoptik;Óptica de objetivo;Ópticas de ataque;Système optique de visée;Ottica di puntamento;조준경;Optyczny układ celowniczy;Ótica Balística;瞄准光学镜;雷射鎖定儀
Button/Name/LockOnUpgraded;Lock On;Захват цели;Erfassen;Fijar objetivo;Fijar objetivo;Verrouiller;Aggancio;목표물 고정;Namierzanie;Trava;锁定;鎖定攻擊
Button/Name/Lockdown;Lockdown;Замыкание;Stopper;Cierre;Bloqueo;Verrou;Interferenza;잠금;Blokada;Neutralização;锁定;癱瘓
Button/Name/LocustFlyingLaunch;Spawn Locusts;Породить саранчидов;Schrecken erschaffen;Engendrar langostas;Engendrar langostas;Générer des nuisibles;Genera Locuste;식충 생성;Powij szarańczę;Gerar Gafanhotos;孵化蝗虫;孵化蝗蟲
Button/Name/LocustFlyingLaunchPressurizedGlands;Spawn Locust;Породить саранчида;Schrecke erschaffen;Engendrar langostas;Engendrar langosta;Générer un nuisible;Genera Locusta;식충 생성;Powij szarańczę;Gerar Gafanhoto;孵化蝗虫;孵化蝗蟲
Button/Name/LocustSpeed;Locust Speed;Быстрые саранчиды;Schreckengeschwindigkeit;Velocidad de langosta;Velocidad de langosta;Vitesse du nuisible;Velocità delle Locuste;식충 속도;Szybkość szarańczy;Velocidade do gafanhoto;蝗虫加速;蝗蟲加速
Button/Name/LokiMissilePods;Missile Pods;Ракетные модули;Raketenbatterien;Cápsulas de misiles;Cápsulas de misiles;Silos à missiles;Batterie di missili;미사일 포;Wyrzutnie rakiet;Lança mísseis;飞弹舱;飛彈艙
Button/Name/LongboltMissiles;Longbolt Missile;Дальнобойные ракеты;Kapillar-Rakete;Misil trueno;Misiles Asiru;Missiles Flèche;Missile Longbolt;장거리 미사일;Rakieta Longbolt;Míssil relâmpago;长箭飞弹;神箭手飛彈
Button/Name/Lurker;Lurker | Morph to Lurker;Мутировать в скрытня | Скрытень;Schleicher | Zu Schleicher morphen;Merodeador | Mutar en merodeador;Acechador | Transformar en Acechador;Rôdeur | Transformer en rôdeur;Criptolisca | Trasforma in Criptolisca;가시지옥 | 가시지옥으로 변태;Czyhacz | Przekształć w czyhacza;Furtivo | Transmutar em Furtivo;变异为潜伏者 | 潜伏者;變形為遁地獸 | 遁地獸
Button/Name/LurkerDen;Mutate into Lurker Den;Мутировать в пещеру скрытней | Пещера скрытней;Zu Schleicherbau mutieren;Mutar en guarida de merodeador;Mutar a Cubil de Acechadores | Mutar en Cubil de Acechadores;Muter en Terrier de rôdeurs | Muter en terrier de rôdeurs;Muta in Antro delle Criptolische;가시지옥 굴로 변이 | 가시지옥 굴로 변태;Mutuj w norę czyhaczy | Mutuj w norę czyhaczy.;Mutação em Covil de Furtivo;变异为潜伏者巢穴;突變為遁地獸穴
Button/Name/LurkerFromHydraliskBurrowed;Morph to Lurker;Мутировать в скрытня;Zu Schleicher morphen;Mutar en merodeador;Transformarse en Acechador;Transformer en rôdeur;Trasforma in Criptolisca;가시지옥으로 변태;Przekształć w czyhacza;Transmutar em Furtivo;变异为潜伏者;變形為遁地獸
Button/Name/LurkerPassive;Lurker;Скрытень;Schleicher;Merodeador;Acechador;Rôdeur;Criptolisca;가시지옥;Czyhacz;Furtivo;潜伏者;遁地獸
Button/Name/MAFServosLiberator;Smart Servos;Универсальные приводы;Intelligente Servos;Servointeligencia;Servos inteligentes;Servoaccélérateurs;Servocomponenti ottimizzati;지능형 제어 장치;Inteligentne serwomechanizmy;Servomecanismos Inteligentes;智能伺服器;智能傳動
Button/Name/MaarChannelEnd;Maar Channel End;Маар - конец поддержания;Maarkanalisierung - Ende;Fin de canal de Maar;Fin del Canal Maar;Fin de la canalisation de Maar;Fine trasmissione Maar;마르 집중 종료;Maar – kierowanie – koniec;Final do Canal Maar;玛尔引导结束;瑪爾引導結束
Button/Name/MaarChannelStart;Maar Channel Start;Маар - начало поддержания;Maarkanalisierung - Beginn;Inicio de canal de Maar;Principio del Canal Maar;Début de la canalisation de Maar;Inizio trasmissione Maar;마르 집중 시작;Maar – kierowanie – początek;Início do Canal Maar;玛尔引导开始;瑪爾引導開始
Button/Name/MaelstromRounds;Maelstrom Rounds;Снаряды «Вихрь»;Maelstrom-Geschosse;Proyectiles hecatombe;Municiones Maelstrom;Obus Maelström;Proiettili Maelstrom;소용돌이 포탄;Pociski Maelstrom;Munição turbilhão | Rodadas Turbilhão;漩流弹;漩渦彈
Button/Name/MagrailMunitions;Magrail Munitions;Рельсотронные боеприпасы;Magnetführungsmunition;Munición de levitación magnética;Municiones de riel magnético;Munitions magnétiques;Munizioni elettromagnetiche;자기가속 탄약;Amunicja magnetokinetyczna;Munições de Aceleração Magnética;磁轨武器;磁軌武器
Button/Name/MagrailMunitionsGoliath;Magrail Munitions;Рельсотрон;Magnetführungsmunition;Munición de levitación magnética;Municiones de riel magnético;Munitions magnétiques;Munizioni elettromagnetiche;자기가속 탄약;Amunicja magnetokinetyczna;Munições de Aceleração Magnética;磁轨武器;磁軌武器
Button/Name/MammothBreath;Scorching Breath;Чудовищное дыхание;Feueratem;Aliento agostador;Aliento abrasador;Souffle infernal;Soffio ardente;그을리는 숨결;Palący Oddech;Sopro Calcinante;灼热吐息;灼燒之息
Button/Name/MapObjectInteract;MapObjectInteract;MapObjectInteract;Kartenziel - Interaktion;MapObjectInteract;MapObjectInteract;MapObjectInteract;Oggetto mappa - Interazione;MapObjectInteract;MapaObiektInterakcja;MapObjectInteract;MapObjectInteract;地圖目標互動
Button/Name/MarineSuperStimpack;Super Stimpack;Суперстимуляторы;Super-Stimpack;Superestimulantes;Superestimpack;Super stimulants;Super Stimpack;초 전투 자극제;Superstymulant;Superesteroides;超级强化剂;超級戰鬥藥劑
Button/Name/MasertyAbathurToxicNestRespawn;Respawn Nest;Возрождение гнезда;Nest neu erschaffen;Reconstitución de nido;Reaparición - Nido;Faire réapparaître un nid;Rigenera Nido;둥지 재생성;Ożywienie gniazda;Recriar Ninho Tóxico;重生巢穴;復活蟲巢
Button/Name/MassMercDrop;Mass Merc Drop;Массовая высадка наемников;Söldner-Massenabwurf;Entrega de mercenarios en masa;Inserción en masa de mercenarios;Largage en masse de mercenaires;Consegna massiccia mercenari;대규모 용병 낙하;Masowy desant najemników;Soltar Mercenário em Massa;大规模佣兵投放;空投大批傭兵
Button/Name/MassRoachDrop;Infested Drop;Зараженный десант;Verseuchter Abwurf;Cápsula infestada;Cápsula infestada;Largage contaminé;Capsule infestate;감염체 투하;Zainfekowany Zrzut;Módulos Infestados;感染空投;空投囊
Button/Name/MasteryFenixReducedResearchCostsPassive;Reduced Research Costs;Снижение стоимости разработки;Verringerte Forschungskosten;Costes de investigación reducidos;Costos de investigación reducidos;Coûts de recherche réduits;Riduzione costi di ricerca;연구 비용 감소;Redukcja kosztu badań;Custos de Pesquisa Reduzidos;降低研究费用;研發費用降低
Button/Name/MasteryStukovUnitRegenSpeedAppend;Reconstructive Tissue;Восстановительная ткань;Rekonstruktives Gewebe;Tejido reconstructivo;Tejido reconstructivo;Cicatrisation des tissus;Tessuto autoricostituente;조직 복원;Regeneracyjne tkanki;Tecido Reconstrutivo;肌理重构;組織重建
Button/Name/MatrixOverload;Matrix Overload;Перегрузка матрицы;Matrixüberlastung;Sobrecarga de la matriz;Sobrecarga matricial;Surcharge matricielle;Sovraccarico matrice;매트릭스 과부하;Przeciążenie Matrycy;Sobrecarga de Matriz;矩阵过载;矩陣超載
Button/Name/Medic;Train Medic;Обучить медика;Sanitäter ausbilden;Entrenar médico;Entrenar Médica;Former un médic;Addestra Medico;의무관 훈련;Wyszkol sanitariuszkę;Treinar Médico;训练医疗兵;訓練醫護兵
Button/Name/MedicHeal;Heal;Лечение;Heilen | Heilung;Sanar;Curar;Soigner;Cura;치료;Lecz | Leczenie;Curar;治疗;治療
Button/Name/MedicHealPlusMech;Heal;Лечение;Heilen;Sanar;Curar;Soigner;Cura;치료;Leczenie;Curar;治疗;治療
Button/Name/MedusasBladesLocked;Medusas Blades;Лезвия медузы;Medusaklingen;Hojas medusa;Cuchillas Medusa;Lames méduses;Lame Medusa;메두사 칼날;Ostrza Meduzy;Lâminas de Medusa;美杜莎之刃;梅杜莎之刃
Button/Name/MegaArchonCombust;Combust;Воспламенение;Verbrennen;Combustión;Combustión;Combustion;Combustione;연소;Spalanie;Combustão;自燃;熾燃
Button/Name/MegaArchonConjure;Conjure;Создание;Beschwören;Conjuro;Conjuro;Appeler;Congiura;생성;Wywołanie;Conjurar;招来;召喚
Button/Name/MegaArchonConsume;Consume;Поглощение;Verzehren;Consumir;Consumir;Ponction;Consunzione;흡수;Pochłonięcie;Consumir;吞噬;吞噬
